value,topic_title,category,season
150,Torrid,clothing,Spring
150,Sun protective clothing,clothing,Spring
150,Blair,clothing,Spring
120,Avenue,clothing,Spring
100,Linen,clothing,Spring
100,Plus-size clothing,clothing,Spring
90,H&M,clothing,Spring
90,Cider,clothing,Spring
90,Sleeveless shirt,clothing,Spring
80,Revolve,clothing,Spring
80,Zara,clothing,Spring
80,Custom,clothing,Spring
80,Anthropologie,clothing,Spring
80,Anthropologie,clothing,Spring
70,Urban Outfitters,clothing,Spring
60,Clothing brand,clothing,Spring
24700,Poshmark,blouses,Spring
450,Capri pants,blouses,Spring
250,Lulus,blouses,Spring
160,Old Navy,blouses,Spring
160,Talbots,blouses,Spring
150,Linen,blouses,Spring
140,Summer,blouses,Spring
140,Nordstrom Rack,blouses,Spring
140,Kohl's,blouses,Spring
120,J.Jill,blouses,Spring
120,Overskirt,blouses,Spring
120,Lane Bryant,blouses,Spring
120,Woman Within,blouses,Spring
100,JCPenney,blouses,Spring
100,Grommet,blouses,Spring
100,T.J. Maxx,blouses,Spring
90,Banana Republic,blouses,Spring
90,Zara,blouses,Spring
90,H&M,blouses,Spring
90,Gap,blouses,Spring
90,Rayon,blouses,Spring
80,J.Crew,blouses,Spring
80,Macy's,blouses,Spring
60,Plus-size clothing,blouses,Spring
3800,Denim & Rhinestones,denim,Spring
950,Denim Day,denim,Spring
190,Capri pants,denim,Spring
180,Bermuda shorts,denim,Spring
170,Coach New York,denim,Spring
120,Jean Shorts,denim,Spring
110,Shorts,denim,Spring
100,Banana Republic,denim,Spring
100,Romper suit,denim,Spring
90,Old Navy,denim,Spring
90,Abercrombie & Fitch,denim,Spring
90,Zara,denim,Spring
90,AGOLDE,denim,Spring
80,Linen,denim,Spring
80,Plus-size clothing,denim,Spring
80,H&M,denim,Spring
80,Cargo,denim,Spring
70,Coach,denim,Spring
70,PacSun,denim,Spring
60,Poshmark,denim,Spring
50,Dress,denim,Spring
300,Graduation ceremony,dresses,Spring
170,Academic dress,dresses,Spring
140,Summer,dresses,Spring
110,Zara,dresses,Spring
110,LOFT,dresses,Spring
110,JCPenney,dresses,Spring
100,H&M,dresses,Spring
90,Ann Taylor,dresses,Spring
90,LOFT,dresses,Spring
90,Ann Inc.,dresses,Spring
80,Sundress,dresses,Spring
80,Banana Republic,dresses,Spring
70,Macy's,dresses,Spring
70,H&M,dresses,Spring
70,Macy's,dresses,Spring
70,Anthropologie,dresses,Spring
70,Linen,dresses,Spring
70,Anthropologie,dresses,Spring
70,Nordstrom Rack,dresses,Spring
70,Belk,dresses,Spring
50,Nordstrom,dresses,Spring
50,Plus-size clothing,dresses,Spring
450,SKECHERS,pants,Spring
300,Linen,pants,Spring
170,Capri pants,pants,Spring
140,Black tie,pants,Spring
130,SKECHERS,pants,Spring
120,Skechers USA Inc,pants,Spring
110,Chinos,pants,Spring
110,Cargo,pants,Spring
110,H&M,pants,Spring
110,Banana Republic,pants,Spring
100,fit,pants,Spring
100,Wear,pants,Spring
100,Palazzo pants,pants,Spring
100,Levi's,pants,Spring
100,Old Navy,pants,Spring
90,Shorts,pants,Spring
90,Plus-size clothing,pants,Spring
90,lululemon,pants,Spring
90,wide,pants,Spring
90,Comfortable,pants,Spring
60,Nike Store,pants,Spring
40,Suit,pants,Spring
180,Hawaiian,shirts,Spring
130,Banana Republic,shirts,Spring
120,UNIQLO,shirts,Spring
120,fit,shirts,Spring
100,Aloha shirt,shirts,Spring
90,Linen,shirts,Spring
80,Plus-size clothing,shirts,Spring
80,Ralph Lauren,shirts,Spring
70,Collar,shirts,Spring
70,Tie-dye,shirts,Spring
70,Dye,shirts,Spring
70,custom-made,shirts,Spring
60,Shorts,shirts,Spring
150,Abercrombie & Fitch,shorts,Spring
130,Old Navy,shorts,Spring
130,American Eagle Outfitters,shorts,Spring
130,Cargo,shorts,Spring
110,Cargo Shorts,shorts,Spring
110,Wear,shorts,Spring
110,Abercrombie & Fitch,shorts,Spring
100,H&M,shorts,Spring
100,Plus-size clothing,shorts,Spring
100,Linen,shorts,Spring
100,Lee,shorts,Spring
100,Chubbies,shorts,Spring
90,American Eagle,shorts,Spring
80,Hollister,shorts,Spring
80,Levi's,shorts,Spring
80,Abercrombie & Fitch,shorts,Spring
80,J.Crew,shorts,Spring
80,PacSun,shorts,Spring
80,Ralph Lauren,shorts,Spring
70,AGOLDE,shorts,Spring
70,Waist,shorts,Spring
70,lululemon,shorts,Spring
70,Bermuda shorts,shorts,Spring
70,Dickies,shorts,Spring
70,H&M,shorts,Spring
36400,halara,skirts,Spring
180,Intel,skirts,Spring
130,Paul Smith,skirts,Spring
130,Sun hat,skirts,Spring
130,Paul Smith,skirts,Spring
130,JCPenney,skirts,Spring
120,Old Navy,skirts,Spring
120,AMD,skirts,Spring
120,Driving glove,skirts,Spring
110,Blog,skirts,Spring
110,Earnings,skirts,Spring
110,Gigahertz,skirts,Spring
100,lululemon,skirts,Spring
100,Wear-to-Work Dress,skirts,Spring
100,Initial public offering,skirts,Spring
100,Lifestyle,skirts,Spring
100,Aerie,skirts,Spring
100,Sleeveless shirt,skirts,Spring
100,Summer,skirts,Spring
100,Glove,skirts,Spring
90,Intel Core i7,skirts,Spring
90,lululemon,skirts,Spring
90,Dress socks,skirts,Spring
70,Sock,skirts,Spring
60,Plus-size clothing,skirts,Spring
1150,Summer,sweaters,Spring
950,Spring,sweaters,Spring
600,Shrug,sweaters,Spring
300,Moth,sweaters,Spring
200,Talbots,sweaters,Spring
200,Wear,sweaters,Spring
200,Knitted fabric,sweaters,Spring
180,Sweatshirt,sweaters,Spring
170,Ralph Lauren,sweaters,Spring
170,Hollister,sweaters,Spring
170,PacSun,sweaters,Spring
160,Ann Taylor,sweaters,Spring
160,LOFT,sweaters,Spring
150,Sleeveless shirt,sweaters,Spring
150,Ann Inc.,sweaters,Spring
110,Macy's,sweaters,Spring
110,Cotton,sweaters,Spring
100,Cardigan,sweaters,Spring
90,Zipper,sweaters,Spring
80,Sleeve,sweaters,Spring
70,Knitting,sweaters,Spring
40,Shirt,sweaters,Spring
160,Gift shop,sweatshirts,Spring
120,Seaside,sweatshirts,Spring
100,Zara,sweatshirts,Spring
90,Comfortable,sweatshirts,Spring
90,Fraternities and sororities,sweatshirts,Spring
80,Ralph Lauren,sweatshirts,Spring
80,Hollister,sweatshirts,Spring
70,Hanesbrands,sweatshirts,Spring
60,Preppy,sweatshirts,Spring
60,American Eagle,sweatshirts,Spring
60,H&M,sweatshirts,Spring
50,American Eagle Outfitters,sweatshirts,Spring
50,lululemon,sweatshirts,Spring
100,Allowance,clothing,Summer
60,SHEIN,clothing,Summer
40,Justice,clothing,Summer
120,Hollister,blouses,Summer
80,GUESS,blouses,Summer
60,Clothes iron,blouses,Summer
60,Hawaiian,blouses,Summer
50,Guess,blouses,Summer
50,Abercrombie & Fitch,blouses,Summer
50,Lulus,blouses,Summer
40,Neiman Marcus,blouses,Summer
100,Nike Air Max,denim,Summer
70,Denim & Rhinestones,denim,Summer
60,Carrie Underwood,denim,Summer
60,Skort,denim,Summer
50,Nike Air,denim,Summer
500,Autumn,dresses,Summer
450,Homecoming,dresses,Summer
130,27 Dresses,dresses,Summer
50,Wear-to-Work Dress,dresses,Summer
40,Wedding dress,dresses,Summer
170,Parachute pants,pants,Summer
160,Uniform,pants,Summer
140,Parachute,pants,Summer
130,Uniform,shirts,Summer
50,Volleyball Shorts,shorts,Summer
40,Eric Emanuel,shorts,Summer
150,School uniform,skirts,Summer
140,Uniform,skirts,Summer
120,Cargo pants,skirts,Summer
100,Bose,skirts,Summer
90,Driving glove,skirts,Summer
80,Grass skirt,skirts,Summer
70,Intel,skirts,Summer
60,Khaki,skirts,Summer
60,Paul Smith,skirts,Summer
60,Paul Smith,skirts,Summer
60,Paul Smith,skirts,Summer
60,Happy Socks,skirts,Summer
60,Google Pixel,skirts,Summer
50,Courier,skirts,Summer
50,Collar,skirts,Summer
50,Messenger bag,skirts,Summer
40,AMD,skirts,Summer
40,fingerless glove,skirts,Summer
40,Ryzen,skirts,Summer
1300,Autumn,sweaters,Summer
200,Free People,sweaters,Summer
130,Christmas,sweaters,Summer
120,Winter,sweaters,Summer
120,Christmas jumper,sweaters,Summer
110,Boys' Sweater,sweaters,Summer
100,Tartan,sweaters,Summer
100,Abercrombie & Fitch,sweaters,Summer
90,Hollister Co.,sweaters,Summer
80,Cargo pants,sweaters,Summer
70,Hollister Co.,sweaters,Summer
50,Poshmark,sweaters,Summer
40,Beige,sweaters,Summer
9267050,Sweatshirt,sweatshirts,Summer
1435000,Hoodie,sweatshirts,Summer
1090300,Woman,sweatshirts,Summer
862850,Man,sweatshirts,Summer
806450,Sweater,sweatshirts,Summer
657700,Nike,sweatshirts,Summer
606000,Nike Store,sweatshirts,Summer
604900,Nike,sweatshirts,Summer
597900,Shirt,sweatshirts,Summer
551250,T-shirt,sweatshirts,Summer
411550,Clothing,sweatshirts,Summer
380000,Sweatshirt,sweatshirts,Summer
363650,Crew neck,sweatshirts,Summer
324650,custom-made,sweatshirts,Summer
287500,Zipper,sweatshirts,Summer
209950,Hood,sweatshirts,Summer
203500,Graphics,sweatshirts,Summer
170400,Embroidery,sweatshirts,Summer
146950,Etsy,sweatshirts,Summer
145050,Etsy,sweatshirts,Summer
144800,Etsy,sweatshirts,Summer
139550,Shorts,sweatshirts,Summer
160,Winter clothing,clothing,Fall
100,Quince,clothing,Fall
90,Custom,clothing,Fall
60,Folk costume,clothing,Fall
300,Velvet,blouses,Fall
160,Tartan,blouses,Fall
150,Sequin,blouses,Fall
130,Leopard,blouses,Fall
100,Little black dress,blouses,Fall
100,Maurices,blouses,Fall
100,Blazer,blouses,Fall
90,Maurices,blouses,Fall
90,Bow,blouses,Fall
80,Ann Taylor,blouses,Fall
70,Satin,blouses,Fall
60,Cardigan,blouses,Fall
60,Bell-bottoms,blouses,Fall
50,Ann Inc.,blouses,Fall
50,Silk,blouses,Fall
350,Denim & Rhinestones Tour,denim,Fall
300,Sherpa fabric,denim,Fall
250,Knee-high boot,denim,Fall
250,Nike Air Jordan I,denim,Fall
250,Polar fleece,denim,Fall
200,Lining,denim,Fall
200,Down jacket,denim,Fall
190,Trench coat,denim,Fall
180,Fur,denim,Fall
140,Air Jordan,denim,Fall
140,Flannel,denim,Fall
120,Coat,denim,Fall
120,Corduroy,denim,Fall
120,Hood,denim,Fall
110,Britney Spears,denim,Fall
110,Flight jacket,denim,Fall
90,Leather jacket,denim,Fall
90,Wool,denim,Fall
80,Carhartt,denim,Fall
80,Justin Timberlake,denim,Fall
80,Denim Tears,denim,Fall
80,Tartan,denim,Fall
70,MOTHER Denim,denim,Fall
60,Sweater,denim,Fall
190,Velvet,dresses,Fall
140,Homecoming,dresses,Fall
130,Autumn,dresses,Fall
110,Lucy in The Sky,dresses,Fall
90,Windsor,dresses,Fall
90,Sequin,dresses,Fall
60,Princess Polly,dresses,Fall
50,Prom dresses,dresses,Fall
50,Semi-formal wear,dresses,Fall
50,Prom,dresses,Fall
50,Little black dress,dresses,Fall
50,Ball,dresses,Fall
40,Dillard's,dresses,Fall
40,Fashion Nova,dresses,Fall
350,Snow Pants,pants,Fall
300,Lining,pants,Fall
250,Polar fleece,pants,Fall
250,Flannel,pants,Fall
250,Skiing,pants,Fall
200,Artificial leather,pants,Fall
200,Ski,pants,Fall
170,Velvet,pants,Fall
160,Snowboard,pants,Fall
150,Pajamas,pants,Fall
140,Corduroy Pants,pants,Fall
120,Corduroy,pants,Fall
100,Wool,pants,Fall
100,Leather,pants,Fall
90,The North Face,pants,Fall
90,Tartan,pants,Fall
80,Sequin,pants,Fall
70,Sweatpants,pants,Fall
70,Jacket,pants,Fall
450,Flannel,shirts,Fall
400,Breast cancer,shirts,Fall
200,Sweatshirt,shirts,Fall
200,Sweatshirt,shirts,Fall
120,Hoodie,shirts,Fall
110,Tartan,shirts,Fall
60,Hood,shirts,Fall
60,Henley shirt,shirts,Fall
40,JiffyShirts.com,shirts,Fall
1550,Sec Shorts,shorts,Fall
170,Pixar,shorts,Fall
140,Upload,shorts,Fall
140,YouTube Shorts,shorts,Fall
130,Sequin,shorts,Fall
120,Tights,shorts,Fall
110,Pajamas,shorts,Fall
110,Short,shorts,Fall
70,Sweatpants,shorts,Fall
60,Boxer shorts,shorts,Fall
60,Muay Thai,shorts,Fall
40,Buttocks,shorts,Fall
800,Christmas tree,skirts,Fall
800,Christmas Tree Skirt,skirts,Fall
600,Knee-high boot,skirts,Fall
550,Winter,skirts,Fall
450,Calvin Klein,skirts,Fall
400,Wool,skirts,Fall
300,Corduroy,skirts,Fall
300,Artificial leather,skirts,Fall
250,Velvet,skirts,Fall
250,Tights,skirts,Fall
170,Sweater,skirts,Fall
160,Sequin,skirts,Fall
110,Knitting,skirts,Fall
110,Tutu,skirts,Fall
110,Leather,skirts,Fall
100,Poodle,skirts,Fall
100,Leggings,skirts,Fall
100,Tartan,skirts,Fall
90,1950s,skirts,Fall
40,Pencil,skirts,Fall
120,Aerie,sweaters,Fall
80,Leggings,sweaters,Fall
70,Zara,sweaters,Fall
70,Express,sweaters,Fall
70,Banana Republic,sweaters,Fall
60,Tunic,sweaters,Fall
60,Dillard's,sweaters,Fall
60,Dillard's,sweaters,Fall
50,Banana Republic,sweaters,Fall
50,Sweatpants,sweaters,Fall
50,LOFT,sweaters,Fall
50,American Eagle,sweaters,Fall
50,Abercrombie & Fitch,sweaters,Fall
40,Nordstrom Rack,sweaters,Fall
40,Nordstrom Rack,sweaters,Fall
450,Christmas jumper,sweatshirts,Fall
350,Christmas gift,sweatshirts,Fall
100,Abercrombie & Fitch,sweatshirts,Fall
90,Tunic,sweatshirts,Fall
90,The North Face,sweatshirts,Fall
90,Petite size,sweatshirts,Fall
70,Youth,sweatshirts,Fall
60,Gildan,sweatshirts,Fall
50,Aerie,sweatshirts,Fall
40,The North Face,sweatshirts,Fall
150,Summer,blouses,Winter
110,Crew neck,blouses,Winter
100,Abercrombie & Fitch,blouses,Winter
90,Lulus,blouses,Winter
80,Workwear,blouses,Winter
80,Clothing store,blouses,Winter
70,Abercrombie & Fitch,blouses,Winter
70,Wrap,blouses,Winter
60,Velvet,blouses,Winter
50,White House Black Market,blouses,Winter
50,Maternity clothing,blouses,Winter
40,Sheer fabric,blouses,Winter
40,Crop top,blouses,Winter
70,Maxi Skirt,denim,Winter
70,Sandal,denim,Winter
50,Denim Tears,denim,Winter
40,Denim Day,denim,Winter
40,Corset,denim,Winter
40,Denim Richards,denim,Winter
40,Revice Denim,denim,Winter
500,Spring,dresses,Winter
300,Prom & Homecoming Dresses,dresses,Winter
200,Prom dresses,dresses,Winter
200,Eucharist,dresses,Winter
200,First Communion,dresses,Winter
200,Prom,dresses,Winter
100,Summer,dresses,Winter
90,Jovani,dresses,Winter
80,Sherri Hill,dresses,Winter
50,Bridegroom,dresses,Winter
50,Flower girl,dresses,Winter
50,Azazie,dresses,Winter
50,Flower Girl Dress,dresses,Winter
40,Mother,dresses,Winter
40,Bride,dresses,Winter
150,Ski,pants,Winter
130,Snowboard,pants,Winter
130,Skiing,pants,Winter
110,Women's Snow Pants,pants,Winter
110,Snowboarding,pants,Winter
100,Snow,pants,Winter
90,Snow Pants,pants,Winter
50,The North Face,pants,Winter
50,Bib,pants,Winter
40,Sequin,pants,Winter
2250,Saint Patrick's Day,shirts,Winter
300,Cincy Shirts,shirts,Winter
3450,Academy Award for Best Short Film (Live Action),shorts,Winter
1950,Academy Awards,shorts,Winter
70,Swimsuit,shorts,Winter
60,Short,shorts,Winter
60,Swimming,shorts,Winter
50,Mayor,shorts,Winter
50,Linen,shorts,Winter
40,Monetization,shorts,Winter
130,Swimsuit,skirts,Winter
110,Swimming,skirts,Winter
70,Linen,skirts,Winter
60,Spoiler,skirts,Winter
50,The Black Skirts,skirts,Winter
40,Original equipment manufacturer,skirts,Winter
200,Spencer's,sweaters,Winter
200,SPENCER GIFTS,sweaters,Winter
70,Grinch,sweaters,Winter
60,Christmas jumper,sweaters,Winter
40,Alpaca,sweaters,Winter
40,Saks Fifth Avenue,sweaters,Winter
50,DICKâ€™S Sporting Goods,sweatshirts,Winter
